                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2603,                 3.6108,                 1.6031,                0.02167,                0.03523,                0.01122,                0.00393,                 2.4656,                 3.5618,                  1.269,                      0,                      0,                      0
                      2,                 3.1217,                 3.6096,                 1.6062,                  0.025,                0.04065,                0.01304,                0.00445,                 2.4387,                 3.5601,                 1.2598,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 3.3859,                 3.6039,                 1.5376,                   0.04,                0.06504,                0.02133,                0.00813,                 2.3779,                  3.548,                 1.2311,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 3.3159,                 3.5775,                 1.5036,                0.06833,                0.11111,                0.03837,                0.01533,                 2.2799,                 3.5214,                 1.1838,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 2.9649,                 3.5381,                 1.4717,                0.10667,                0.17344,                0.06329,                0.02142,                 2.2458,                 3.5001,                 1.1436,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 2.8325,                 3.5055,                 1.4308,                   0.15,                 0.2439,                0.09385,                0.03116,                 2.2048,                 3.4755,                 1.1093,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 2.5473,                 3.4621,                 1.3655,                0.17333,                0.28184,                0.11164,                0.03704,                 2.1504,                  3.456,                 1.0788,             0.00010574,             0.00010574,             0.00010574
                      8,                 2.7698,                 3.4108,                 1.4078,                  0.205,                0.33333,                0.13705,                0.04589,                 2.1392,                 3.4346,                 1.0685,              0.0001206,              0.0001206,              0.0001206
                      9,                 2.7367,                 3.3472,                 1.2862,                0.21333,                0.34688,                0.14412,                0.04846,                 2.1294,                 3.4208,                 1.0604,             0.00013466,             0.00013466,             0.00013466
                     10,                 2.5402,                 3.2167,                 1.2648,                  0.245,                0.39837,                 0.1713,                0.06325,                 2.0634,                 3.3936,                 1.0444,             0.00014792,             0.00014792,             0.00014792
                     11,                 2.5521,                 3.1631,                 1.2993,                0.24333,                0.39566,                0.17094,                0.07029,                 2.0049,                 3.3572,                 1.0286,              0.0001604,              0.0001604,              0.0001604
                     12,                 2.3888,                 3.0864,                  1.241,                0.27333,                0.44444,                0.19747,                  0.084,                 1.9957,                 3.3049,                 1.0259,             0.00017208,             0.00017208,             0.00017208
                     13,                 2.4002,                 2.9381,                 1.1593,                0.29167,                0.47425,                0.21499,                0.09154,                 2.0047,                 3.2519,                 1.0284,             0.00018298,             0.00018298,             0.00018298
                     14,                 2.3836,                 2.8857,                  1.164,                   0.31,                0.50407,                0.23657,                0.09546,                 2.0106,                 3.1968,                 1.0301,             0.00019308,             0.00019308,             0.00019308
                     15,                 2.7932,                 2.7023,                 1.1529,                   0.31,                0.50407,                0.29064,                0.10622,                 2.0013,                 3.1584,                 1.0277,             0.00020238,             0.00020238,             0.00020238
                     16,                 2.2175,                 2.6039,                 1.1939,                0.36833,                0.59892,                0.48476,                0.18315,                 2.0175,                 3.0589,                 1.0258,              0.0002109,              0.0002109,              0.0002109
                     17,                 2.3053,                 2.5625,                 1.1683,                0.40667,                0.66125,                0.61216,                0.24699,                  2.092,                  2.923,                 1.0388,             0.00021862,             0.00021862,             0.00021862
                     18,                 2.3567,                 2.4138,                 1.1332,                0.40667,                0.66125,                0.61216,                0.24699,                  2.092,                  2.923,                 1.0388,             0.00022556,             0.00022556,             0.00022556
                     19,                 2.2146,                 2.3976,                 1.1338,                0.43333,                0.70461,                0.67616,                0.27797,                 2.1805,                 2.7818,                 1.0588,              0.0002317,              0.0002317,              0.0002317
                     20,                 2.4183,                 2.3879,                 1.1151,                0.43333,                0.70461,                0.67616,                0.27797,                 2.1805,                 2.7818,                 1.0588,             0.00023704,             0.00023704,             0.00023704
                     21,                  2.298,                 2.2754,                 1.1532,                  0.425,                0.69106,                0.67906,                0.29054,                 2.2705,                 2.6545,                 1.0796,              0.0002416,              0.0002416,              0.0002416
                     22,                 2.3132,                 2.1531,                 1.1527,                  0.425,                0.69106,                0.67906,                0.29054,                 2.2705,                 2.6545,                 1.0796,             0.00024536,             0.00024536,             0.00024536
                     23,                 2.1406,                  2.221,                 1.1501,                   0.43,                0.69919,                0.67783,                0.27793,                 2.3702,                 2.5381,                 1.1076,             0.00024834,             0.00024834,             0.00024834
                     24,                 2.1435,                 2.1582,                 1.1434,                   0.43,                0.69919,                0.67783,                0.27793,                 2.3702,                 2.5381,                 1.1076,             0.00025052,             0.00025052,             0.00025052
                     25,                 2.2896,                 2.1446,                 1.1066,                  0.455,                0.73984,                0.70642,                0.28272,                  2.385,                 2.4313,                 1.1114,              0.0002519,              0.0002519,              0.0002519
                     26,                 2.1072,                 1.8292,                 1.0982,                  0.455,                0.73984,                0.70642,                0.28272,                  2.385,                 2.4313,                 1.1114,              0.0002525,              0.0002525,              0.0002525
                     27,                 2.1373,                 1.9486,                 1.1177,                0.47667,                0.77507,                0.72934,                0.28886,                 2.3831,                 2.3359,                 1.1109,              0.0002523,              0.0002523,              0.0002523
                     28,                 2.3569,                 1.9215,                 1.1016,                0.47667,                0.77507,                0.72934,                0.28886,                 2.3831,                 2.3359,                 1.1109,             0.00025132,             0.00025132,             0.00025132
                     29,                 2.1315,                 2.0643,                 1.1301,                0.48333,                0.78591,                0.74048,                0.29976,                 2.3292,                 2.2599,                 1.0954,             0.00024954,             0.00024954,             0.00024954
                     30,                 2.0816,                 1.7974,                 1.1148,                0.48333,                0.78591,                0.74048,                0.29976,                 2.3292,                 2.2599,                 1.0954,             0.00024696,             0.00024696,             0.00024696
                     31,                 2.2064,                 1.8423,                 1.1328,                0.62947,                 0.8103,                0.77303,                0.31021,                  2.311,                  2.195,                 1.0898,              0.0002436,              0.0002436,              0.0002436
                     32,                 2.2499,                  1.918,                 1.1837,                0.62947,                 0.8103,                0.77303,                0.31021,                  2.311,                  2.195,                 1.0898,             0.00023944,             0.00023944,             0.00023944
                     33,                 2.1732,                 1.8338,                 1.1488,                    0.5,                0.81301,                0.77497,                0.30636,                 2.3556,                 2.1569,                 1.1028,              0.0002345,              0.0002345,              0.0002345
                     34,                  2.711,                 1.8949,                  1.127,                    0.5,                0.81301,                0.77497,                0.30636,                 2.3556,                 2.1569,                 1.1028,             0.00022876,             0.00022876,             0.00022876
                     35,                  2.181,                 1.6748,                 1.1106,                  0.495,                0.80488,                0.77531,                0.30646,                 2.3609,                  2.135,                 1.1027,             0.00022222,             0.00022222,             0.00022222
                     36,                 2.1359,                 1.5814,                 1.1556,                  0.495,                0.80488,                0.77531,                0.30646,                 2.3609,                  2.135,                 1.1027,              0.0002149,              0.0002149,              0.0002149
                     37,                 2.8289,                 1.8852,                 1.1271,                0.49667,                0.80759,                0.78294,                0.31088,                 2.3181,                  2.121,                 1.0866,             0.00020678,             0.00020678,             0.00020678
                     38,                 2.4528,                 1.8134,                  1.094,                0.49667,                0.80759,                0.78294,                0.31088,                 2.3181,                  2.121,                 1.0866,             0.00019788,             0.00019788,             0.00019788
                     39,                 2.2077,                 1.5609,                 1.0957,                0.49333,                0.80217,                0.78431,                0.32451,                 2.2246,                 2.1139,                 1.0586,             0.00018818,             0.00018818,             0.00018818
                     40,                 2.2501,                 1.7815,                 1.1016,                0.49333,                0.80217,                0.78431,                0.32451,                 2.2246,                 2.1139,                 1.0586,             0.00017768,             0.00017768,             0.00017768
                     41,                 2.0962,                 1.4029,                 1.0848,                  0.495,                0.80488,                0.79007,                 0.3381,                 2.1314,                 2.0914,                 1.0341,              0.0001664,              0.0001664,              0.0001664
                     42,                 2.0617,                 1.3853,                 1.0538,                  0.495,                0.80488,                0.79007,                 0.3381,                 2.1314,                 2.0914,                 1.0341,             0.00015432,             0.00015432,             0.00015432
                     43,                 2.1071,                 1.3474,                 1.0439,                0.51646,                0.82114,                0.79229,                0.34389,                 2.0675,                 2.0573,                 1.0175,             0.00014146,             0.00014146,             0.00014146
                     44,                 2.0617,                 1.3802,                  1.074,                0.51646,                0.82114,                0.79229,                0.34389,                 2.0675,                 2.0573,                 1.0175,              0.0001278,              0.0001278,              0.0001278
                     45,                 2.2748,                 1.3638,                 1.0514,                0.80042,                0.80217,                0.78909,                0.34628,                 2.0394,                  2.024,                 1.0098,             0.00011334,             0.00011334,             0.00011334
