                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0214,                 3.1947,                 1.3729,                0.09627,                0.84792,                0.11703,                0.05277,                 1.6946,                 2.9998,                 1.1062,                0.00024,                0.00024,                0.00024
                      2,                 1.7832,                 1.4758,                 1.1241,                0.73559,                0.67957,                 0.6733,                 0.3107,                 1.9703,                  2.056,                 1.2562,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.6904,                 1.1648,                 1.0977,                0.78815,                0.82678,                 0.8265,                0.37399,                 1.8076,                 1.2612,                 1.1654,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.6521,                 1.0861,                  1.079,                0.80393,                0.79213,                 0.8119,                0.37379,                 1.7346,                 1.2607,                  1.167,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.5969,                 1.0252,                 1.0597,                0.79806,                0.83309,                0.84001,                0.41043,                  1.755,                 1.0012,                 1.1753,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.6709,                 1.0349,                 1.0898,                0.73488,                0.78156,                0.74884,                0.30615,                 1.9973,                 1.3511,                  1.242,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.6125,                 1.0404,                 1.0853,                0.82317,                0.90429,                0.89467,                0.45142,                 1.6374,                 1.0049,                 1.1116,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.6336,                0.98603,                 1.0857,                0.83841,                0.89574,                0.90319,                0.43948,                 1.6527,                  1.015,                 1.0667,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6428,                0.97333,                  1.071,                0.78748,                0.91544,                0.86902,                0.44288,                 1.6623,                 1.0579,                 1.0914,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6058,                0.94212,                 1.0668,                0.77111,                0.89811,                0.87101,                0.47486,                 1.5659,                0.95263,                 1.0761,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.5676,                 0.9777,                 1.0543,                0.82431,                0.90311,                0.90848,                0.46323,                 1.6715,                0.95627,                 1.1124,               0.001604,               0.001604,               0.001604
                     12,                 1.5665,                 0.9494,                  1.054,                0.81986,                0.88961,                0.89322,                0.46551,                 1.6314,                0.92892,                 1.1098,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.5568,                0.91124,                 1.0525,                0.87058,                0.90252,                 0.9335,                 0.5007,                 1.5807,                0.83897,                 1.0979,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5093,                0.89874,                 1.0524,                0.85963,                0.92776,                0.93234,                0.50078,                 1.5855,                0.83287,                 1.0947,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5424,                 0.9219,                 1.0601,                0.86027,                0.91779,                0.92304,                0.49849,                 1.5783,                0.87422,                 1.0815,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5121,                0.88473,                 1.0348,                 0.8528,                0.92871,                0.92205,                0.48827,                 1.5613,                0.87345,                 1.0911,               0.001406,               0.001406,               0.001406
                     17,                 1.4964,                0.84647,                 1.0247,                0.83939,                0.91368,                0.91472,                0.48039,                 1.6131,                0.83799,                 1.1011,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.5267,                0.85311,                 1.0449,                 0.8602,                 0.8852,                0.92443,                0.49697,                 1.5917,                0.84002,                 1.0888,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.5187,                0.85313,                 1.0329,                0.86709,                0.88489,                0.92581,                0.45136,                 1.6982,                 0.8748,                 1.1272,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.5416,                0.86482,                 1.0326,                0.88861,                0.86192,                0.93013,                 0.4926,                 1.5771,                0.89908,                 1.0794,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.5071,                0.85129,                 1.0365,                0.87273,                0.89019,                0.93419,                0.49583,                 1.5934,                 0.8454,                 1.0836,               0.001208,               0.001208,               0.001208
                     22,                 1.4669,                0.81865,                 1.0106,                0.85836,                0.92425,                0.93497,                0.49765,                  1.558,                 0.8359,                 1.0764,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.4617,                0.79282,                 1.0251,                0.85741,                0.92154,                0.93295,                0.50014,                 1.5726,                0.78421,                 1.0854,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.4511,                 0.7979,                  1.016,                0.87935,                0.91486,                0.93691,                0.50761,                 1.5627,                0.83526,                 1.0683,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.4281,                0.81259,                 1.0106,                0.87453,                0.90135,                0.93048,                0.50264,                   1.58,                0.79847,                 1.0822,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.4809,                0.81977,                 1.0179,                0.89776,                0.89713,                0.93623,                0.49878,                 1.6045,                0.77467,                 1.0969,                0.00101,                0.00101,                0.00101
                     27,                 1.4713,                0.76227,                 1.0137,                0.87158,                0.91133,                0.93794,                0.49843,                 1.5876,                0.78065,                 1.0905,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.4508,                0.78886,                 1.0323,                0.86384,                0.91486,                0.94589,                0.48701,                 1.6374,                0.78368,                 1.1024,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.4519,                0.76512,                 1.0163,                0.85249,                0.92484,                0.94693,                0.49162,                 1.6144,                0.76022,                 1.0913,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.4431,                0.75755,                 1.0132,                0.85986,                0.92231,                 0.9459,                0.51979,                 1.5611,                0.75889,                 1.0785,              0.0008516,              0.0008516,              0.0008516
                     31,                  1.426,                0.76557,                 1.0139,                0.86366,                0.93365,                0.95599,                0.53373,                 1.5371,                0.73469,                 1.0626,               0.000812,               0.000812,               0.000812
                     32,                 1.4448,                 0.7712,                 1.0137,                0.87973,                0.87023,                0.93968,                0.48066,                 1.6651,                0.82179,                 1.1117,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.4728,                0.78941,                 1.0327,                0.88034,                0.92836,                0.95808,                0.52499,                 1.5459,                0.73755,                 1.0735,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.4342,                0.74381,                  1.008,                0.87806,                 0.9302,                0.94984,                0.53274,                 1.5176,                 0.7156,                 1.0606,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4367,                0.74201,                 1.0138,                0.87065,                0.92882,                0.93933,                0.53299,                 1.5235,                0.71723,                  1.062,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4399,                0.73778,                 1.0156,                0.88197,                0.92582,                0.94898,                0.52458,                 1.5504,                0.73679,                 1.0698,               0.000614,               0.000614,               0.000614
