                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1336,                   3.15,                 1.3911,                0.09736,                0.61802,                0.21164,                0.07586,                 1.7939,                 2.9268,                 1.1123,                0.00028,                0.00028,                0.00028
                      2,                 1.8576,                 1.4518,                 1.1169,                0.73112,                 0.5954,                0.64308,                0.30293,                 1.9472,                 1.9277,                  1.161,             0.00056852,             0.00056852,             0.00056852
                      3,                 1.7367,                 1.1333,                 1.0907,                0.79682,                0.79264,                0.81287,                0.37332,                 1.8084,                 1.1385,                 1.1739,             0.00084515,             0.00084515,             0.00084515
                      4,                 1.7065,                 1.0674,                 1.0819,                0.74081,                0.75288,                0.73902,                 0.3245,                 1.8821,                 1.2895,                 1.1587,              0.0011099,              0.0011099,              0.0011099
                      5,                 1.7331,                 1.1003,                 1.0947,                0.81496,                0.78803,                0.82894,                0.38447,                 1.8063,                 1.0816,                 1.1077,              0.0013628,              0.0013628,              0.0013628
                      6,                 1.7015,                 1.0526,                 1.0754,                0.78951,                0.78546,                0.81011,                0.37605,                 1.7911,                 1.0499,                  1.121,              0.0016038,              0.0016038,              0.0016038
                      7,                 1.7165,                 1.0527,                 1.0785,                0.73356,                0.74535,                  0.758,                 0.3702,                 1.7943,                 1.2524,                 1.0799,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.6483,                 0.9968,                 1.0644,                0.77371,                0.82233,                 0.8136,                0.40504,                 1.7084,                 1.0518,                 1.0665,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.679,                0.98645,                 1.0576,                0.79525,                0.81052,                0.83505,                0.39177,                 1.7435,                 1.0823,                 1.0943,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6525,                 1.0019,                 1.0698,                0.84067,                0.83734,                0.87022,                0.43153,                    1.7,                0.98013,                 1.0898,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6435,                0.97697,                  1.062,                0.83206,                0.84594,                 0.8667,                0.43068,                 1.7035,                  0.909,                 1.0753,               0.001604,               0.001604,               0.001604
                     12,                 1.6709,                0.95818,                 1.0537,                0.86606,                0.86101,                0.89359,                0.43948,                 1.7006,                0.88921,                 1.0851,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6205,                0.94574,                 1.0537,                0.85862,                0.88181,                0.89167,                0.43989,                 1.6684,                0.91211,                 1.0953,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6288,                 0.9257,                 1.0532,                 0.8662,                0.87961,                0.90601,                0.45376,                 1.6712,                0.86975,                 1.0697,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.628,                0.93363,                  1.044,                0.85924,                0.87523,                0.89564,                0.45174,                 1.6521,                0.85447,                 1.0629,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5793,                0.91866,                 1.0451,                0.86243,                0.87267,                 0.9005,                0.46868,                 1.6288,                0.85813,                  1.061,               0.001406,               0.001406,               0.001406
