                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0452,                 2.9761,                 1.3531,                 0.0955,                0.76529,                0.53044,                 0.2403,                 1.7183,                 2.8691,                 1.1577,                0.00032,                0.00032,                0.00032
                      2,                 1.8347,                 1.3412,                 1.1244,                0.72421,                0.76624,                0.75604,                0.37682,                 1.7337,                 1.4727,                  1.125,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.7252,                 1.0932,                 1.1042,                0.78321,                0.82363,                0.81146,                0.42094,                 1.6716,                 1.1259,                 1.1226,              0.0009604,              0.0009604,              0.0009604
                      4,                 1.6635,                  1.047,                 1.0833,                0.79619,                0.83245,                0.83778,                0.43164,                 1.6308,                 1.0087,                 1.0942,              0.0012604,              0.0012604,              0.0012604
                      5,                 1.6398,                 0.9932,                 1.0583,                0.80589,                0.84746,                0.86521,                0.44805,                 1.6295,                 0.9657,                 1.0858,              0.0015469,              0.0015469,              0.0015469
                      6,                 1.6322,                0.99802,                 1.0785,                0.80712,                0.86269,                0.85175,                0.44635,                 1.6396,                 1.0706,                 1.0832,               0.001802,               0.001802,               0.001802
                      7,                 1.6526,                 0.9809,                 1.0646,                0.77747,                0.85135,                0.83142,                 0.3968,                    1.7,                 0.9892,                 1.1129,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.6059,                0.97455,                 1.0659,                0.83181,                0.85033,                0.87607,                0.46619,                 1.6223,                 1.0861,                 1.0626,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5888,                0.94127,                 1.0453,                0.85808,                0.86134,                0.89242,                0.47441,                 1.5942,                 1.0742,                 1.0652,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6033,                0.93157,                 1.0629,                0.84744,                0.87745,                  0.894,                0.48071,                 1.5857,                0.91211,                 1.0708,              0.0016436,              0.0016436,              0.0016436
                     11,                   1.57,                0.90598,                 1.0424,                0.85249,                0.89684,                0.89968,                0.49478,                 1.5178,                0.87001,                 1.0425,               0.001604,               0.001604,               0.001604
                     12,                 1.5796,                0.91742,                 1.0402,                0.85435,                0.88132,                0.90544,                0.47492,                 1.5645,                0.90234,                 1.0632,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.5314,                0.86846,                  1.038,                0.85363,                0.89621,                0.89771,                0.49366,                 1.5389,                0.84332,                 1.0607,              0.0015248,              0.0015248,              0.0015248
                     14,                   1.55,                0.89493,                 1.0421,                0.85113,                0.87989,                0.89167,                0.48547,                 1.5353,                0.89919,                 1.0546,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5587,                0.87023,                  1.035,                 0.8674,                0.88574,                0.91434,                0.48914,                 1.5419,                0.85357,                 1.0672,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5415,                0.86763,                 1.0437,                0.86064,                0.89376,                0.91088,                0.47301,                 1.6236,                0.83203,                 1.0974,               0.001406,               0.001406,               0.001406
                     17,                 1.5308,                0.85456,                 1.0321,                 0.8618,                0.89906,                0.90958,                0.50306,                 1.5362,                0.82562,                  1.054,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.4918,                0.83178,                 1.0237,                0.85713,                0.89182,                0.90256,                 0.5052,                 1.5219,                0.81889,                 1.0499,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.5069,                0.83516,                 1.0309,                0.87114,                0.89333,                0.92248,                 0.5159,                 1.5062,                0.78953,                 1.0489,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.5514,                0.84272,                 1.0384,                 0.8763,                 0.8905,                0.93214,                 0.5122,                 1.5264,                0.79424,                 1.0512,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.5279,                0.80582,                 1.0238,                0.85064,                 0.8852,                0.90991,                0.47055,                 1.6731,                 0.8595,                 1.1038,               0.001208,               0.001208,               0.001208
                     22,                   1.52,                0.86143,                 1.0353,                0.87205,                0.90273,                0.93131,                0.52292,                 1.5169,                0.84587,                 1.0454,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.5221,                0.81086,                 1.0436,                0.85569,                0.90783,                0.91827,                0.52423,                 1.4885,                0.73844,                 1.0411,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.5123,                0.80334,                 1.0171,                0.87079,                0.90314,                0.92718,                0.50178,                 1.5461,                0.78585,                 1.0457,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.5042,                0.80472,                  1.022,                0.87191,                0.90639,                0.92042,                0.52196,                 1.4718,                0.74313,                 1.0365,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.5211,                0.80174,                 1.0234,                0.87557,                0.90803,                0.93056,                0.52307,                 1.5221,                0.75511,                 1.0456,                0.00101,                0.00101,                0.00101
                     27,                 1.5413,                0.77988,                 1.0502,                0.87753,                0.90446,                0.93104,                0.52189,                 1.5136,                0.74165,                 1.0511,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.4882,                0.77399,                  1.017,                0.88675,                0.90852,                0.93746,                0.53025,                 1.5031,                0.76404,                 1.0366,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.4954,                 0.7697,                 1.0129,                0.88872,                0.91198,                0.94524,                0.51975,                 1.5146,                0.76659,                 1.0458,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.458,                0.75792,                 1.0163,                0.87419,                0.91955,                0.92843,                0.53927,                 1.4698,                0.72937,                 1.0334,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.4933,                0.76925,                 1.0122,                0.86981,                0.91211,                 0.9269,                0.53775,                 1.4555,                0.71494,                 1.0308,               0.000812,               0.000812,               0.000812
                     32,                 1.4568,                0.74783,                 1.0079,                0.87337,                0.89825,                0.92694,                0.51099,                 1.4896,                0.78226,                 1.0496,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.4538,                  0.804,                 1.0191,                0.90966,                0.91028,                0.95194,                0.53676,                 1.4685,                0.71802,                 1.0361,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.4883,                 0.7504,                 1.0111,                0.90028,                0.91313,                0.94576,                0.54483,                 1.4481,                0.70956,                 1.0238,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4804,                0.74847,                 1.0179,                0.88877,                0.91403,                0.94331,                0.53271,                 1.4819,                 0.7202,                 1.0376,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4667,                 0.7142,                 1.0068,                0.87442,                0.90448,                0.92792,                0.49025,                 1.6169,                0.73732,                 1.0841,               0.000614,               0.000614,               0.000614
                     37,                 1.4233,                0.71735,                 1.0055,                0.91055,                0.91782,                 0.9513,                0.55391,                 1.4412,                0.68536,                 1.0218,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4538,                0.71896,                 1.0018,                0.91219,                0.91843,                0.95539,                0.54791,                 1.4771,                0.67701,                 1.0327,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4457,                0.73253,                 1.0097,                0.90676,                 0.9219,                0.95445,                0.55967,                 1.4358,                0.66356,                 1.0235,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4582,                0.72448,                 1.0014,                0.91818,                0.91578,                0.95743,                0.56267,                 1.4148,                0.65901,                 1.0166,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4766,                0.78409,                 1.0419,                0.91374,                0.90946,                0.94296,                0.54912,                 1.4292,                 0.6776,                 1.0176,               0.000416,               0.000416,               0.000416
                     42,                 1.4559,                0.73655,                 1.0324,                0.91054,                0.91782,                0.95097,                0.55689,                 1.4135,                0.67638,                  1.019,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4309,                0.72153,                  1.025,                0.90744,                0.92355,                0.95054,                0.56038,                 1.4122,                 0.6695,                 1.0205,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4138,                0.70497,                 1.0184,                0.92162,                0.91837,                0.95717,                0.56642,                 1.3974,                0.65076,                 1.0127,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4302,                0.69548,                 1.0079,                0.92173,                0.92292,                0.95813,                0.56687,                 1.4033,                0.64799,                  1.013,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4267,                0.69916,                 1.0252,                 0.9166,                0.92374,                0.95668,                0.56923,                 1.4017,                0.65058,                 1.0126,               0.000218,               0.000218,               0.000218
                     47,                 1.4085,                0.67716,                 1.0193,                0.92217,                0.92435,                0.95799,                0.57169,                 1.3949,                0.64466,                  1.011,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3901,                0.66753,                 1.0131,                0.92201,                0.92809,                0.96128,                0.57623,                 1.3964,                0.63176,                 1.0098,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3974,                 0.6712,                 1.0131,                 0.9224,                0.93067,                0.96344,                 0.5781,                 1.3874,                0.62557,                 1.0076,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.4048,                0.66397,                 1.0151,                0.92109,                0.93271,                0.96445,                0.57651,                 1.3906,                0.62483,                 1.0077,               5.96e-05,               5.96e-05,               5.96e-05
