                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8395,                  3.579,                 1.9363,                0.01667,                0.07463,                0.00905,                 0.0022,                 2.4316,                 3.5615,                 1.8815,                      0,                      0,                      0
                      2,                 2.6424,                 3.5731,                 1.9619,                0.01833,                0.08209,                0.01009,                0.00265,                 2.4115,                 3.5586,                 1.8692,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 2.7462,                 3.5871,                 1.8808,                0.01833,                0.08209,                0.01011,                0.00313,                 2.3643,                 3.5445,                 1.8295,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 2.6255,                 3.5512,                 1.7563,                   0.02,                0.08955,                0.01136,                  0.005,                 2.2796,                 3.5133,                 1.7387,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 2.5973,                 3.5234,                 1.8325,                0.02833,                0.12687,                0.01618,                0.00628,                 2.2014,                 3.4861,                 1.6646,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 2.5532,                 3.4811,                 1.7741,                0.03333,                0.14925,                0.01949,                0.00758,                 2.1794,                 3.4685,                 1.6338,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 2.5661,                 3.4523,                 1.6642,                   0.04,                 0.1791,                0.02489,                0.01007,                 2.1341,                 3.4525,                 1.6035,             0.00010574,             0.00010574,             0.00010574
                      8,                  2.387,                 3.3701,                 1.6561,                0.04167,                0.18657,                0.02735,                0.01142,                 2.1259,                 3.4408,                 1.5879,              0.0001206,              0.0001206,              0.0001206
                      9,                 2.3651,                 3.3556,                 1.6354,                0.05167,                0.23134,                0.03622,                0.01591,                 2.1174,                 3.4295,                 1.5907,             0.00013466,             0.00013466,             0.00013466
                     10,                 2.3357,                 3.2689,                 1.5739,                0.05167,                0.23134,                 0.0403,                0.01834,                 2.0898,                 3.4116,                 1.5751,             0.00014792,             0.00014792,             0.00014792
