                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1647,                 3.2111,                 1.3991,                0.08141,                0.60343,                0.23045,                0.09004,                 1.8004,                 3.0404,                 1.2257,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.8929,                 1.4515,                 1.1471,                0.77582,                0.62315,                0.67413,                0.31301,                  1.865,                 1.7312,                 1.2104,             0.00060772,             0.00060772,             0.00060772
                      3,                 1.8338,                 1.2268,                  1.108,                 0.7717,                0.71767,                0.75716,                0.35952,                  1.792,                 1.3892,                 1.2186,             0.00090278,             0.00090278,             0.00090278
                      4,                 1.7942,                 1.1228,                 1.1039,                0.74106,                0.75742,                0.78269,                 0.3846,                 1.7303,                 1.1179,                 1.1678,              0.0011852,              0.0011852,              0.0011852
                      5,                 1.7994,                 1.1043,                  1.092,                0.72994,                0.77471,                0.76205,                0.37285,                  1.744,                 1.1532,                 1.1157,              0.0014549,              0.0014549,              0.0014549
                      6,                 1.7199,                 1.0387,                 1.0911,                0.77091,                0.81027,                0.80814,                0.42223,                 1.6425,                  1.068,                 1.0716,              0.0017119,              0.0017119,              0.0017119
                      7,                 1.7297,                 1.0601,                 1.0907,                0.74554,                0.79271,                0.79044,                0.37988,                 1.6642,                  1.058,                 1.0979,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.686,                0.98716,                 1.0861,                0.74576,                0.79816,                0.78726,                0.38802,                 1.7027,                  1.091,                  1.099,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6741,                0.95717,                 1.0686,                0.79898,                0.80392,                0.84687,                0.42965,                 1.6484,                 1.0424,                 1.0732,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6697,                0.97452,                 1.0723,                 0.8096,                0.83626,                0.85266,                0.43229,                 1.6609,                 1.0235,                 1.0817,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6866,                0.99093,                 1.0645,                0.80297,                0.81951,                0.84664,                0.44047,                 1.6156,                0.96508,                 1.0707,               0.001604,               0.001604,               0.001604
                     12,                 1.6422,                0.96584,                  1.059,                0.82262,                 0.8273,                0.85278,                0.45849,                   1.59,                0.97454,                 1.0739,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6133,                0.92445,                 1.0649,                0.84626,                 0.8124,                0.85968,                 0.4513,                 1.6076,                0.94821,                 1.0733,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6488,                   0.95,                 1.0654,                0.81822,                 0.8124,                0.85016,                0.41523,                 1.7446,                0.93582,                 1.1309,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.666,                0.89493,                 1.0712,                0.78907,                0.76884,                0.81852,                0.39475,                 1.7512,                0.96955,                  1.121,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.6277,                0.96046,                 1.0732,                 0.8299,                0.79272,                0.84633,                 0.4064,                 1.7636,                0.95266,                 1.1307,               0.001406,               0.001406,               0.001406
                     17,                 1.6547,                0.89391,                 1.0675,                0.81758,                 0.8371,                0.86037,                0.44231,                 1.6715,                0.89501,                 1.1063,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.6748,                0.89848,                 1.0698,                0.81624,                 0.8438,                0.87149,                0.46713,                 1.5851,                0.87398,                 1.0681,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.6022,                0.91801,                 1.0449,                0.84878,                0.83203,                0.88092,                0.47033,                 1.5907,                0.88807,                 1.0695,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6141,                 0.8936,                 1.0476,                 0.8447,                0.83082,                0.87621,                0.45418,                 1.6548,                0.86818,                 1.0953,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.6178,                0.87864,                 1.0643,                0.85785,                0.81491,                0.87717,                0.45624,                 1.5984,                0.87797,                 1.0759,               0.001208,               0.001208,               0.001208
                     22,                 1.6107,                0.86524,                 1.0564,                0.85357,                0.80798,                0.87217,                0.45106,                 1.6216,                0.91321,                 1.0761,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.5812,                0.83652,                   1.04,                0.85131,                0.83626,                0.88769,                0.48075,                 1.5991,                 0.8342,                 1.0681,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.6102,                0.86464,                 1.0532,                0.84108,                0.84925,                0.88525,                0.46105,                 1.6349,                0.82975,                  1.078,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.6008,                0.87267,                 1.0576,                0.83862,                0.86392,                0.89082,                0.48073,                 1.5729,                0.82452,                 1.0547,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.5737,                0.82991,                 1.0349,                0.85334,                0.85283,                0.89577,                0.49521,                 1.5568,                0.82596,                 1.0516,                0.00101,                0.00101,                0.00101
                     27,                  1.554,                0.81395,                  1.049,                0.83651,                0.86474,                0.88977,                 0.4862,                 1.5804,                0.80374,                 1.0701,              0.0009704,              0.0009704,              0.0009704
                     28,                  1.578,                0.81241,                 1.0495,                0.83292,                0.87681,                0.89948,                0.49061,                 1.5785,                0.79814,                 1.0695,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5904,                0.87155,                 1.0437,                0.84895,                0.83417,                  0.876,                0.45656,                 1.6262,                0.82511,                 1.0776,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.586,                0.85821,                 1.0465,                0.83726,                0.86223,                0.89359,                0.48265,                   1.57,                0.79419,                  1.062,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5726,                0.82762,                  1.039,                0.82594,                0.85511,                0.87684,                0.48409,                 1.5553,                0.81409,                 1.0608,               0.000812,               0.000812,               0.000812
                     32,                 1.5705,                0.82447,                 1.0423,                0.85026,                0.84464,                0.88684,                0.46529,                 1.6247,                0.82015,                 1.0756,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.5703,                0.81196,                 1.0393,                0.85962,                0.84255,                0.89201,                0.49332,                 1.5394,                0.80529,                 1.0471,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.5571,                0.79598,                 1.0464,                 0.8334,                 0.8526,                  0.884,                0.46268,                 1.6544,                0.80564,                 1.0875,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4934,                0.88059,                 1.0399,                0.85502,                0.84214,                0.89008,                0.49168,                 1.5557,                0.79627,                 1.0541,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5853,                0.83084,                 1.0303,                0.83953,                0.85003,                0.89133,                0.45312,                  1.647,                0.81054,                 1.0837,               0.000614,               0.000614,               0.000614
                     37,                 1.5418,                0.83901,                 1.0347,                 0.8301,                0.87367,                0.89304,                0.50323,                 1.5397,                0.75785,                 1.0543,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.6163,                0.82884,                  1.043,                0.83522,                0.86683,                0.89658,                0.47289,                 1.6247,                0.78256,                 1.0777,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5138,                0.79792,                 1.0259,                0.84152,                0.86722,                0.90522,                0.50063,                 1.5287,                 0.7769,                 1.0448,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5571,                0.79506,                  1.012,                0.85655,                0.87018,                0.90112,                0.50424,                 1.5369,                0.76338,                 1.0479,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5317,                0.88773,                 1.0552,                0.84422,                0.86683,                0.88786,                0.49719,                 1.5262,                0.80766,                 1.0432,               0.000416,               0.000416,               0.000416
                     42,                 1.5329,                 0.8188,                 1.0503,                0.83073,                0.86729,                0.88359,                0.49506,                 1.5488,                0.78207,                 1.0536,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.5325,                0.80327,                 1.0539,                 0.8465,                0.86138,                0.89182,                0.48907,                 1.5377,                0.77761,                 1.0477,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.5354,                0.79316,                 1.0422,                0.85985,                0.86584,                0.90487,                0.49274,                 1.5592,                0.77156,                 1.0533,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.5215,                0.75826,                 1.0359,                0.84511,                0.86642,                0.90046,                0.49498,                 1.5368,                0.78755,                 1.0464,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4829,                0.75333,                 1.0351,                0.83667,                 0.8572,                0.89986,                0.49865,                 1.5368,                 0.7833,                 1.0484,               0.000218,               0.000218,               0.000218
                     47,                 1.4872,                0.78522,                 1.0349,                0.85593,                0.86809,                0.90649,                0.50012,                 1.5524,                0.76476,                 1.0501,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4829,                0.75148,                 1.0346,                0.85986,                0.87359,                0.90971,                0.50553,                  1.538,                0.75481,                 1.0467,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4788,                0.73488,                 1.0483,                0.86361,                0.86432,                0.90896,                 0.5044,                 1.5391,                0.75126,                 1.0471,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.4741,                0.74371,                 1.0411,                0.85736,                0.87228,                0.90807,                 0.5091,                 1.5352,                0.74756,                 1.0448,               5.96e-05,               5.96e-05,               5.96e-05
